lemme,cgram,genre,nombre,freqfilms2,freqlivres,overall_freq
français,NOM,m,s,34.94,148.72,183.66
été,NOM,m,s,61.8,121.55,183.35
bonsoir,NOM,m,s,161.16,22.03,183.19
ventre,NOM,m,s,46.07,136.62,182.69
tante,NOM,f,s,70.69,110.95,181.64
camp,NOM,m,s,105.92,75.61,181.53
vin,NOM,m,s,80.92,99.93,180.85
arme,NOM,f,p,105.82,74.39,180.21
rêve,NOM,m,s,99.39,80.2,179.59
gouvernement,NOM,m,s,59.82,119.73,179.55
présence,NOM,f,s,44.95,133.11,178.06
photo,NOM,f,s,122.47,54.66,177.13
passage,NOM,m,s,40.2,136.82,177.02
hôpital,NOM,m,s,126.08,50.41,176.49
couleur,NOM,f,s,57.46,118.65,176.11
courant,NOM,m,s,108.69,67.36,176.05
groupe,NOM,m,s,90.16,85.88,176.04
pouvoir,NOM,m,s,89.52,86.49,176.01
dent,NOM,f,p,60.94,114.53,175.47
passé,NOM,m,s,63.39,112.03,175.42
goût,NOM,m,s,50.51,124.8,175.31
mur,NOM,m,p,30.04,145.2,175.24
droite,NOM,f,s,58.44,116.69,175.13
lendemain,NOM,m,s,28.58,145.54,174.12
arbre,NOM,m,p,32.4,141.42,173.82
médecin,NOM,m,s,112.35,60.68,173.03
image,NOM,f,s,51.34,119.39,170.73
ligne,NOM,f,s,69.42,101.01,170.43
grand-père,NOM,m,s,75.19,95.2,170.39
force,NOM,f,p,43.67,126.35,170.02
personne,NOM,f,p,105.79,63.85,169.64
liberté,NOM,f,s,76.28,93.31,169.59
retard,NOM,m,s,125.65,43.45,169.1
boîte,NOM,f,s,74.58,94.32,168.9
problème,NOM,m,p,128.87,39.8,168.67
ami,NOM,f,s,113.54,54.32,167.86
bateau,NOM,m,s,106.55,61.22,167.77
visite,NOM,f,s,86.34,80.61,166.95
garde,NOM,,s,76.76,89.86,166.62
hasard,NOM,m,s,46.98,118.99,165.97
choix,NOM,m,,113.35,51.42,164.77
grand-mère,NOM,f,s,72.39,91.76,164.15
mouvement,NOM,m,s,29.26,134.8,164.06
larme,NOM,f,p,40.56,122.7,163.26
lettre,NOM,f,p,47.98,115.14,163.12
réponse,NOM,f,s,79.19,83.72,162.91
langue,NOM,f,s,58.95,103.78,162.73
mémoire,NOM,,s,56.6,105.74,162.34
pain,NOM,m,s,62.81,99.32,162.13
classe,NOM,f,s,70.46,90.74,161.2
colère,NOM,f,s,67.91,92.77,160.68
pierre,NOM,f,s,40.58,119.39,159.97
compagnie,NOM,f,s,68.9,90.88,159.78
entrée,NOM,f,s,43.75,113.72,157.47
calme,NOM,m,s,105.08,52.03,157.11
carte,NOM,f,s,96.11,60.95,157.06
sommeil,NOM,m,s,44.51,112.03,156.54
cou,NOM,m,s,43.71,112.7,156.41
beauté,NOM,f,s,68.57,87.64,156.21
être,NOM,m,s,78.78,77.36,156.14
appartement,NOM,m,s,69.77,86.01,155.78
grand,NOM,m,s,68.73,86.01,154.74
pluie,NOM,f,s,42.91,111.76,154.67
bon,NOM,m,s,90.13,63.31,153.44
nature,NOM,f,s,59.8,93.45,153.25
frère,NOM,m,p,78.94,73.99,152.93
parole,NOM,f,s,71.07,81.82,152.89
soirée,NOM,f,s,94.36,58.24,152.6
avion,NOM,m,s,105.54,46.82,152.36
secret,NOM,m,s,81.34,70.81,152.15
sécurité,NOM,f,s,112.69,38.92,151.61
arme,NOM,f,s,114.4,37.09,151.49
trou,NOM,m,s,75.32,76.08,151.4
moitié,NOM,f,s,74.25,76.96,151.21
chaleur,NOM,f,s,38.77,112.23,151.0
rôle,NOM,m,s,61.2,88.51,149.71
vacance,NOM,f,p,67.6,81.69,149.29
maison,NOM,f,p,35.44,113.78,149.22
tas,NOM,m,,65.28,83.78,149.06
espoir,NOM,m,s,57.62,90.74,148.36
dimanche,NOM,m,s,59.67,87.84,147.51
occasion,NOM,f,s,55.39,92.09,147.48
art,NOM,m,s,65.93,81.49,147.42
escalier,NOM,m,s,20.91,125.95,146.86
genou,NOM,m,p,42.82,103.99,146.81
noir,NOM,m,s,54.22,92.57,146.79
idée,NOM,f,p,59.38,87.36,146.74
marche,NOM,f,s,46.61,100.0,146.61
bien,NOM,m,s,89.61,56.89,146.5
direction,NOM,f,s,43.25,103.04,146.29
poste,NOM,,s,72.64,73.58,146.22
nouveau,NOM,f,p,82.08,63.78,145.86
colonel,NOM,m,s,102.86,42.91,145.77
mètre,NOM,m,p,37.46,108.24,145.7
quartier,NOM,m,s,55.23,89.86,145.09
dîner,NOM,m,s,84.73,60.0,144.73
équipe,NOM,f,s,118.0,26.28,144.28
mort,NOM,,p,78.09,66.15,144.24
surprise,NOM,f,s,75.62,68.51,144.13
rue,NOM,,p,30.46,113.45,143.91
douleur,NOM,f,s,65.78,77.84,143.62
campagne,NOM,f,s,48.61,94.73,143.34
avance,NOM,f,s,65.68,77.64,143.32
sentiment,NOM,m,s,36.87,106.42,143.29
truc,NOM,m,p,106.41,36.62,143.03
santé,NOM,f,s,88.58,52.43,141.01
ordre,NOM,m,p,84.75,56.08,140.83
courage,NOM,m,s,70.7,69.8,140.5
a,NOM,m,,81.36,58.65,140.01
fer,NOM,m,s,33.65,106.28,139.93
professeur,NOM,,s,90.02,49.53,139.55
erreur,NOM,f,s,101.33,37.84,139.17
ennemi,NOM,m,s,59.98,79.19,139.17
con,NOM,m,s,93.43,45.41,138.84
garçon,NOM,m,p,63.09,75.54,138.63
intérêt,NOM,m,s,63.63,75.0,138.63
seconde,NOM,f,s,72.34,66.22,138.56
diable,NOM,m,s,87.54,51.01,138.55
poche,NOM,,s,36.23,101.82,138.05
oreille,NOM,f,s,34.46,103.45,137.91
arrière,NOM,m,s,47.39,90.27,137.66
appel,NOM,m,s,80.88,56.69,137.57
soldat,NOM,m,p,54.96,82.5,137.46
souvenir,NOM,m,s,30.45,106.69,137.14
accident,NOM,m,s,100.11,36.62,136.73
mademoiselle,NOM,f,s,73.98,62.3,136.28
enfance,NOM,f,s,32.7,103.11,135.81
rire,NOM,m,s,22.8,112.57,135.37
fric,NOM,m,s,108.99,26.35,135.34
cinéma,NOM,m,s,62.23,72.91,135.14
épaule,NOM,f,s,17.91,116.96,134.87
pitié,NOM,f,s,76.38,57.91,134.29
million,NOM,m,p,87.92,46.22,134.14
glace,NOM,f,s,58.09,76.01,134.1
île,NOM,f,s,50.2,83.58,133.78
hiver,NOM,m,s,37.44,96.28,133.72
centre,NOM,m,s,53.46,80.0,133.46
mesure,NOM,f,s,21.02,112.16,133.18
importance,NOM,f,s,57.32,75.54,132.86
vêtement,NOM,m,p,57.65,74.8,132.45
lieutenant,NOM,m,s,80.05,52.36,132.41
histoire,NOM,f,p,64.6,67.3,131.9
loi,NOM,f,s,87.37,44.46,131.83
est,NOM,m,s,81.74,49.73,131.47
cadeau,NOM,m,s,98.09,32.77,130.86
message,NOM,m,s,99.7,31.15,130.85
foi,NOM,f,s,54.06,76.49,130.55
marché,NOM,m,s,72.73,57.36,130.09
oreille,NOM,f,p,39.08,90.68,129.76
télé,NOM,f,s,104.35,25.27,129.62
parole,NOM,f,p,32.41,96.49,128.9
métier,NOM,m,s,53.22,75.54,128.76
désir,NOM,m,s,31.59,96.69,128.28
réalité,NOM,f,s,52.15,75.95,128.1
fil,NOM,m,s,51.83,75.95,127.78
foule,NOM,f,s,25.95,101.62,127.57
flic,NOM,m,p,85.97,41.49,127.46
conseil,NOM,m,s,68.86,58.18,127.04
chair,NOM,f,s,36.01,90.81,126.82
photo,NOM,f,p,86.63,39.93,126.56
porte,NOM,f,p,45.46,80.47,125.93
société,NOM,f,s,69.38,56.55,125.93
but,NOM,m,s,73.8,51.89,125.69
pensée,NOM,f,s,26.25,98.92,125.17
repas,NOM,m,,48.53,76.62,125.15
pont,NOM,m,s,50.45,74.59,125.04
poitrine,NOM,f,s,25.31,99.59,124.9
enfer,NOM,m,s,86.02,38.78,124.8
conscience,NOM,f,s,44.46,80.07,124.53
poids,NOM,m,,34.42,89.05,123.47
souvenir,NOM,m,p,32.79,90.34,123.13
pièce,NOM,f,p,40.44,82.57,123.01
action,NOM,f,s,49.97,72.91,122.88
papier,NOM,m,p,64.19,58.51,122.7
nord,NOM,m,,50.38,72.3,122.68
mission,NOM,f,s,80.02,42.36,122.38
balle,NOM,f,s,77.32,44.73,122.05
malheur,NOM,m,s,49.16,72.84,122.0
danger,NOM,m,s,76.73,45.2,121.93
radio,NOM,,s,71.31,50.54,121.85
lait,NOM,m,s,59.41,62.23,121.64
lune,NOM,f,s,58.29,63.24,121.53
chapeau,NOM,m,s,48.61,72.91,121.52
forêt,NOM,f,s,29.57,91.89,121.46
bande,NOM,f,s,69.1,52.36,121.46
effort,NOM,m,s,23.26,98.18,121.44
salon,NOM,m,s,37.06,84.12,121.18
ferme,NOM,f,s,73.53,47.23,120.76
doigt,NOM,m,s,39.83,80.34,120.17
espace,NOM,,s,41.34,78.58,119.92
arrivée,NOM,f,s,41.9,77.84,119.74
souffle,NOM,m,s,26.55,93.18,119.73
conversation,NOM,f,s,35.14,84.12,119.26
chaise,NOM,f,s,32.7,86.35,119.05
gare,NOM,f,s,40.28,78.58,118.86
existence,NOM,f,s,24.66,93.85,118.51
anglais,NOM,m,,48.81,69.46,118.27
spectacle,NOM,m,s,51.14,66.76,117.9
plage,NOM,f,s,44.99,72.03,117.02
chat,NOM,m,s,57.71,59.26,116.97
bordel,NOM,m,s,97.84,18.99,116.83
cigarette,NOM,f,s,39.22,77.57,116.79
parti,NOM,m,s,41.75,75.0,116.75
côte,NOM,f,s,25.86,90.74,116.6
chéri,NOM,f,s,98.95,17.64,116.59
arbre,NOM,m,s,49.29,67.16,116.45
tort,NOM,m,s,64.89,51.55,116.44
vol,NOM,m,s,74.14,41.22,115.36
contact,NOM,m,s,59.58,55.68,115.26
volonté,NOM,f,s,44.41,70.54,114.95
agent,NOM,m,s,92.42,22.5,114.92
destin,NOM,m,s,51.93,62.77,114.7
taille,NOM,f,s,41.32,72.84,114.16
petit,NOM,f,s,68.89,45.2,114.09
terrain,NOM,m,s,49.12,64.86,113.98
herbe,NOM,f,s,27.64,86.08,113.72
avocat,NOM,m,s,89.28,24.32,113.6
nombre,NOM,m,s,36.57,76.28,112.85
bar,NOM,m,s,60.17,52.57,112.74
bouteille,NOM,f,s,42.31,70.41,112.72
cheval,NOM,m,p,43.7,68.99,112.69
neige,NOM,f,s,37.52,74.93,112.45
gorge,NOM,,s,29.57,82.64,112.21
