lemme,cgram,genre,nombre,freqfilms2,freqlivres,overall_freq
fier,ADJ,m,s,46.07,31.42,38.745
général,ADJ,m,s,27.96,48.92,38.44
merveilleux,ADJ,m,,54.44,21.28,37.86
véritable,ADJ,,s,26.78,48.51,37.645
content,ADJ,f,s,50.76,24.32,37.54
bleu,ADJ,f,s,21.63,53.11,37.37
mince,ADJ,,s,14.1,60.34,37.22
premier,ADJ,f,p,14.16,60.2,37.18
dernier,ADJ,f,p,26.3,48.04,37.17
prochain,ADJ,m,s,51.95,21.96,36.955
fou,ADJ,m,p,48.96,24.66,36.81
vieux,ADJ,f,p,17.52,55.47,36.495
profond,ADJ,m,s,24.72,47.77,36.245
blanc,ADJ,f,p,11.43,60.68,36.055
noir,ADJ,f,p,9.39,62.64,36.015
faible,ADJ,,s,31.03,40.95,35.99
fort,ADJ,m,s,27.93,43.85,35.89
idiot,ADJ,m,s,50.27,21.42,35.845
con,ADJ,m,s,45.97,25.68,35.825
nu,ADJ,m,s,17.39,53.85,35.62
froid,ADJ,f,s,21.48,49.59,35.535
pur,ADJ,m,s,26.48,44.59,35.535
bien,ADJ,,,34.29,36.55,35.42
curieux,ADJ,m,,26.11,44.26,35.185
moyen,ADJ,m,s,41.56,28.24,34.9
politique,ADJ,,s,24.89,44.39,34.64
agréable,ADJ,,s,37.71,31.35,34.53
bel,ADJ,m,s,31.35,37.09,34.22
pauvre,ADJ,,p,29.09,38.99,34.04
chaud,ADJ,f,s,22.48,45.47,33.975
sur,ADJ,m,s,52.19,15.54,33.865
gros,ADJ,f,p,15.41,51.62,33.515
nombreux,ADJ,m,,29.89,37.03,33.46
cool,ADJ,,,63.63,3.18,33.405
national,ADJ,f,s,18.59,48.18,33.385
coupable,ADJ,,s,46.45,20.2,33.325
vu,ADJ,m,s,43.03,22.43,32.73
haut,ADJ,m,s,23.41,41.96,32.685
arrivé,ADJ,m,s,52.22,13.11,32.665
lourd,ADJ,f,s,8.46,56.62,32.54
malheureux,ADJ,m,,24.55,40.27,32.41
amoureux,ADJ,f,s,41.65,23.11,32.38
superbe,ADJ,,s,45.32,19.05,32.185
cher,ADJ,f,s,40.8,23.38,32.09
aveugle,ADJ,,s,33.85,30.2,32.025
vaste,ADJ,,s,8.44,55.61,32.025
tendre,ADJ,,s,18.34,45.54,31.94
honnête,ADJ,,s,43.6,20.2,31.9
léger,ADJ,f,s,15.71,47.84,31.775
excellent,ADJ,m,s,46.87,16.01,31.44
dingue,ADJ,,s,53.01,9.8,31.405
spécial,ADJ,m,s,48.12,14.46,31.29
intéressant,ADJ,m,s,47.07,15.47,31.27
ferme,ADJ,,s,22.93,39.39,31.16
pareil,ADJ,f,s,21.01,41.22,31.115
chéri,ADJ,f,s,49.2,12.97,31.085
libre,ADJ,,p,24.06,37.77,30.915
secret,ADJ,m,s,31.81,29.59,30.7
pur,ADJ,f,s,26.97,34.19,30.58
rare,ADJ,,p,10.7,50.0,30.35
utile,ADJ,,s,36.47,23.99,30.23
russe,ADJ,,s,24.85,35.34,30.095
dur,ADJ,f,s,26.16,33.65,29.905
rare,ADJ,,s,22.58,37.23,29.905
gentil,ADJ,f,s,41.44,18.31,29.875
extraordinaire,ADJ,,s,23.71,36.01,29.86
nu,ADJ,m,p,10.8,48.92,29.86
anglais,ADJ,m,,23.02,36.69,29.855
clair,ADJ,f,s,21.21,38.04,29.625
nu,ADJ,f,s,15.23,43.85,29.54
in,ADJ,,,47.17,11.62,29.395
joyeux,ADJ,m,,31.81,26.69,29.25
